Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,1,14,0,0,34.22,58,1036.1,0,0,0,0,0,0,0,0,5.34,56.98,15.86,73.61,5.14,360,13.65
2018,1,14,1,0,32.95,59,1035.6,0,0,0,0,0,0,0,0,5.61,66.5,16.37,79.77,3.96,343.61,9.84
2018,1,14,2,0,31.76,61,1035.6,0,0,0,0,0,0,0,0,5.66,71.57,17.32,84.07,3.81,319.76,7.83
2018,1,14,3,0,31.07,61,1035.3,0,0,0,0,0,0,0,0,6.02,74.93,17.5,85.6,4.53,302.91,7.61
2018,1,14,4,0,30.8,61,1035.2,0,0,0,0,0,0,0,0,6.46,75.96,17.05,85.49,5.3,297.65,7.38
2018,1,14,5,0,30.44,62,1035.2,0,0,0,0,0,0,0,0,6.89,76.87,16.38,85.3,5.61,293.5,7.38
2018,1,14,6,0,30.62,71,1034.6,0,0,0,0,0,0,0,0,7.91,81.87,17.45,90,3.01,318.01,7.38
2018,1,14,7,0,29.4,77,1034.6,0,0,0,0,0,0,39.36,0,7.5,79.7,16.55,90,3,296.57,6.93
2018,1,14,8,0,31.42,75,1035,0,0,0,0,0,0,60,36.49,7.5,79.7,14.54,90,3.42,281.31,15.88
2018,1,14,9,0,38.33,56,1035,0,0,0,0,0,0,60,218.94,9.87,86.1,11.86,90,4.48,272.86,8.05
2018,1,14,10,0,42.52,50,1035.3,0,0,0,0,0,0,60,395.16,9.2,85.82,10.07,88.73,5.63,276.84,8.05
2018,1,14,11,0,46.03,46,1035.2,0,0,0,0,0,0,60,534,8.28,88.45,8.72,90,6.41,282.09,7.38
2018,1,14,12,0,48.89,43,1034.8,0,0,0,0,0,0,60,622.11,7.38,90,7.39,91.74,7.16,284.47,7.61
2018,1,14,13,0,51.22,40,1033.8,0,0,0,0,0,0,60,652.37,6.06,94.24,5.83,94.4,8.14,285.95,6.71
2018,1,14,14,0,52.69,40,1032.7,0,0,0,0,0,0,60,621.22,5,100.3,4.56,101.31,9.27,289.75,6.71
2018,1,14,15,0,53.32,40,1031.6,0,0,0,0,0,0,60,532.22,4.56,101.31,3.91,103.24,10,296.57,6.49
2018,1,14,16,0,53.14,41,1031.1,0,0,0,0,0,0,60,396.94,4.39,104.74,3.96,106.39,10.24,301.61,6.93
2018,1,14,17,0,51.61,44,1031.1,0,0,0,0,0,0,60,218.94,4.53,110.22,4.82,111.8,10.2,307.87,6.71
2018,1,14,18,0,47.08,54,1030.9,0,0,0,0,0,0,0,37.38,5.11,118.81,7.64,121.83,9.5,313.09,7.38
2018,1,14,19,0,44.43,61,1031.1,0,0,0,0,0,0,0,0,5.42,128.29,9.68,130.31,9.02,313.99,10.51
2018,1,14,20,0,42.41,69,1031.3,0,0,0,0,0,0,0,0,5.22,136.74,10.92,137.49,8.54,315,11.63
2018,1,14,21,0,40.87,76,1031.2,0,0,0,0,0,0,0,0,4.97,144.16,11.18,143.13,7.91,315,11.86
2018,1,14,22,0,39.79,83,1031,0,0,0,0,0,0,0,0,4.91,149.93,11.17,147.26,7.12,313.73,7.61
2018,1,14,23,0,39.16,87,1030.9,0,0,0,0,0,0,0,0,4.7,154.65,10.61,152.35,6.19,310.6,6.71
2018,1,15,0,0,39.05,87,1030.7,0,0,0,0,0,0,0,0,4.53,159.78,10.22,156.8,5.22,300.96,6.93
2018,1,15,1,0,39.03,88,1030.2,0,0,0,0,0,0,0,0,4.24,161.57,9.48,160.71,4.46,287.53,7.16
2018,1,15,2,0,38.87,88,1029.8,0,0,0,0,0,0,0,0,3.8,151.93,8.98,161.11,4.03,270,7.16
2018,1,15,3,0,38.69,89,1029.1,0,0,0,0,0,0,0,0,3.49,140.19,8.52,156.8,3.75,252.65,6.04
2018,1,15,4,0,38.51,88,1028.7,0,0,0,0,0,0,0,0,3.54,124.7,8.21,150.64,3.85,234.46,6.04
2018,1,15,5,0,38.29,88,1028.5,0,0,0,0,0,0,0,0,4.11,112.38,8.46,142.52,4.12,220.6,6.26
2018,1,15,6,0,37.84,91,1028.4,0,0,1.5,5,0,0,0,0,4.97,125.84,12,153.43,6.02,238.67,9.4
2018,1,15,7,0,37.91,91,1028.5,0,0,9,30,0,0,35.7,0,4.91,120.07,12.11,152.49,4.93,219.47,7.61
2018,1,15,8,0,40.74,88,1028.4,0,0,1.8,6,0,0,58.85,40.94,4.8,117.76,12.12,150.12,5.16,197.65,7.83
2018,1,15,9,0,48.93,75,1028.5,0,0,0,0,0,0,60,221.61,3.72,122.74,10.12,144.9,6.06,184.24,6.71
2018,1,15,10,0,56.72,68,1028.6,0,0,0,0,0,0,60,388.04,6.89,144.25,7.13,138.81,7.4,183.47,8.28
2018,1,15,11,0,60.09,61,1028.2,0,0,0,0,0,0,60,525.1,9.22,157.17,9.61,155.22,8.57,187.5,9.62
2018,1,15,12,0,62.25,53,1028.4,0,0,10,0,0,10,53.62,612.32,8.85,159.27,8.72,157.38,9.5,195.02,10.51
2018,1,15,13,0,62.11,53,1027.7,0,0,12.6,42,0,11,51.96,509.08,8.77,160.64,8.91,162.47,9.66,185.31,11.86
2018,1,15,14,0,62.18,54,1027,0,0,12,13,0,12,52.34,331.97,8.91,162.47,9.44,166.29,9.02,172.87,9.84
2018,1,15,15,0,61.94,54,1026.5,0,0,23,0,0,23,45.32,287.47,9.06,159.78,9.44,166.29,8.74,166.68,10.96
2018,1,15,16,0,61.21,56,1026.1,0,0,10,0,0,10,53.62,218.05,9.02,156.61,10.05,163.18,8.21,162.55,9.17
2018,1,15,17,0,59.66,60,1026.1,0,0,10,0,0,10,53.62,124.6,8.52,150.07,10.22,156.8,7.36,160.46,9.84
2018,1,15,18,0,54.22,75,1026.3,0,0,7,0,0,7,0,26.7,6.36,140.71,11.74,149.04,6.02,158.2,11.86
2018,1,15,19,0,51.45,85,1026.8,0,0,29,0,0,29,0,0,5.85,133.45,13.24,142.55,4.82,158.2,12.53
2018,1,15,20,0,50.06,91,1027.7,0,0,17,0,0,17,0,0,5.73,128.66,13.64,138.99,4.18,164.48,12.75
2018,1,15,21,0,49.76,93,1027.9,0,0,100,0,0,100,0,0,5.42,128.29,13.3,137.73,3.81,176.63,11.63
2018,1,15,22,0,51,90,1028.1,0,0,100,0,0,100,0,0,4.47,126.87,12.18,135.74,4.12,192.53,8.72
2018,1,15,23,0,51.18,90,1028.5,0,0,100,0,0,100,0,0,3.3,118.3,10.12,135,4.65,215.22,10.07
2018,1,16,0,0,50.98,91,1028.6,0,0,100,2,0,100,0,0,2.25,95.71,7.48,128.93,5.28,233.62,6.49
2018,1,16,1,0,50.86,92,1028.6,0,0,100,33,15,100,0,0,2.38,41.19,4.08,99.46,5.45,250.82,4.25
2018,1,16,2,0,50.87,91,1029,0,0,100,34,44,100,0,0,4.26,3.01,4.82,21.8,4.18,254.48,4.03
2018,1,16,3,0,50.17,92,1029.2,0,0,100,28,51,100,0,0,6.8,350.54,10.55,355.14,2.06,229.4,5.37
2018,1,16,4,0,48.93,91,1029.6,0,0,100,24,43,100,0,0,10.75,347.99,14.61,348.52,2.11,147.99,9.62
2018,1,16,5,0,45.65,88,1030.4,0,0,100,10,11,100,0,0,15.05,354.88,18.03,352.87,4.12,130.6,13.42
2018,1,16,6,0,34.85,84,1033.2,0.1,0,100,90,50,100,0,0,26.83,7.18,31.86,8.07,8.38,133.92,24.61
2018,1,16,7,0,29.42,80,1034.6,0,0,100,100,100,100,0,0,32.39,14.8,36.35,14.98,9.03,131.99,29.3
2018,1,16,8,0,27.78,78,1035.7,0.1,0.07,100,100,100,100,0,5.34,38.98,23.33,45.02,25.93,8.77,127.75,35.34
2018,1,16,9,0,26.56,78,1036.8,0.4,0.28,100,100,100,100,0,26.7,41.46,29.05,48.78,32.45,6.58,107.82,37.13
2018,1,16,10,0,24.58,77,1037.9,0.6,0.42,100,64,81,100,0,38.27,38.13,28.37,43.47,31.32,8.7,46.04,40.26
2018,1,16,11,0,24.23,81,1038.5,1,0.7,100,34,70,100,0,57.85,33.93,24.54,37.01,26.57,17.13,23.89,29.3
2018,1,16,12,0,25.42,85,1038.5,0.8,0.56,100,36,82,100,0,90.78,31.45,21.27,33.98,22.85,23.11,14.57,26.17
2018,1,16,13,0,26.32,87,1038,0.6,0.42,100,0,75,100,0,114.81,30.87,20.8,33.46,23.65,26.29,9.3,33.55
2018,1,16,14,0,25.98,85,1037.4,0.5,0.35,100,11,100,100,0,114.81,29.59,20.35,32.46,23.56,26.73,5.28,31.99
2018,1,16,15,0,25.73,85,1037.3,0.5,0.35,100,0,100,100,0,99.68,27.73,17.85,30.66,20.95,26.4,360,30.2
2018,1,16,16,0,25.76,83,1037.3,0.4,0.28,100,0,100,100,0,69.42,26.21,15.34,29.29,17.33,27,353.82,30.42
2018,1,16,17,0,25.91,80,1037.8,0.2,0.14,100,0,100,100,0,40.94,24.74,14.66,28.3,17,27.81,351.67,29.08
2018,1,16,18,0,26.07,76,1038.1,0,0,100,0,16,100,0,9.79,22.65,16.65,26.81,19.49,28.93,356.01,27.29
2018,1,16,19,0,26.54,74,1038.7,0,0,100,0,11,100,0,0,21.72,18.62,25.8,21.89,28.64,1.34,24.16
2018,1,16,20,0,26.63,73,1039.4,0,0,100,0,57,100,0,0,21.37,19.57,25.97,22.81,26.68,3.85,22.59
2018,1,16,21,0,26.66,74,1039.8,0,0,100,0,41,100,0,0,21.65,19.93,25.97,22.81,23.97,3.21,24.61
2018,1,16,22,0,26.57,77,1040,0,0,100,0,1,100,0,0,21.37,19.57,25.47,22.74,21.49,1.79,22.37
2018,1,16,23,0,26.23,80,1040,0,0,100,2,1,100,0,0,20.81,20.77,24.44,23.75,19.69,1.3,23.26
2018,1,17,0,0,25.58,81,1039.9,0,0,100,0,0,100,0,0,19.69,21.32,23.62,24.62,18.8,2.05,22.15
2018,1,17,1,0,24.41,81,1039.9,0,0,100,0,0,100,0,0,17.83,19.8,22.83,24.3,18.58,2.07,22.15
2018,1,17,2,0,21.37,84,1039.8,0,0,35,0,0,35,0,0,15.99,17.93,22.24,23.73,18.36,2.79,24.16
2018,1,17,3,0,18.29,88,1040.1,0,0,26,0,0,26,0,0,14.6,15.1,21.53,23.9,18.14,2.83,25.28
2018,1,17,4,0,16.33,88,1039.9,0,0,18,0,0,18,0,0,14.05,13.82,20.83,24.09,18.13,2.12,25.28
2018,1,17,5,0,14.82,88,1040.1,0,0,10,0,0,10,0,0,13.62,14.26,20.12,24.29,18.12,0.71,25.28
2018,1,17,6,0,18.04,83,1040.7,0,0,0,0,0,0,0,0,14.57,17.88,20.31,25.44,17.46,2.2,16.33
2018,1,17,7,0,17.88,83,1041.3,0,0,0,0,0,0,39.8,0,14.3,20.14,19.61,27.15,17.47,2.94,16.33
2018,1,17,8,0,19.37,81,1041.9,0,0,0,0,0,0,60,40.05,14.92,23.88,18.03,29.74,17.04,3.76,16.78
2018,1,17,9,0,22.47,75,1042,0,0,0,0,0,0,60,233.18,18.31,35.05,19.15,37.41,16.43,6.25,19.24
2018,1,17,10,0,24.74,69,1042.2,0,0,0,0,0,0,60,416.52,19.08,39.29,19.8,41.79,15.63,9.06,19.69
2018,1,17,11,0,26.88,57,1041.9,0,0,0,0,0,0,60,561.59,18.1,39.99,18.39,41.05,14.87,12.15,19.01
2018,1,17,12,0,28.81,54,1041.4,0,0,0,0,0,0,60,654.15,17.01,39.13,17.16,39.71,14.11,14.7,17.9
2018,1,17,13,0,30.59,51,1040.7,0,0,0,0,0,0,60,685.3,16.21,39.4,16.18,40.52,13.72,19.03,16.11
2018,1,17,14,0,31.99,50,1039.5,0,0,0,0,0,0,60,655.93,15.21,41.42,15.21,41.42,13.67,21.1,15.21
2018,1,17,15,0,32.95,50,1038.8,0,0,0,0,0,0,60,565.15,14.87,43.78,14.87,43.78,13.51,24.44,14.76
2018,1,17,16,0,33,50,1038.2,0,0,0,0,0,0,60,424.53,14.25,47.54,14.42,48.14,12.81,27.01,15.66
2018,1,17,17,0,31.87,57,1037.9,0,0,0,0,0,0,60,240.3,12.58,51.5,13.69,51.63,12.12,29.88,14.32
2018,1,17,18,0,27.01,72,1038,0,0,0,0,0,0,0,45.39,9.75,53.39,13.9,56.82,11.17,32.74,13.87
2018,1,17,19,0,25.42,80,1038.5,0,0,0,0,0,0,0,0,8.14,52.82,14.62,60.69,10.25,36.12,14.32
2018,1,17,20,0,24.56,84,1038.7,0,0,0,0,0,0,0,0,7.48,51.07,15.11,64.57,9.05,39.99,14.09
2018,1,17,21,0,24.05,86,1038.6,0,0,0,0,0,0,0,0,7.65,52.13,15.45,67.89,7.91,45,14.54
2018,1,17,22,0,23.8,85,1038.3,0,0,0,0,0,0,0,0,7.57,55.84,15.63,70.79,6.71,53.13,14.76
2018,1,17,23,0,23.66,84,1037.9,0,0,0,0,0,0,0,0,7.45,57.26,15.43,73.14,5.3,62.35,9.4
2018,1,18,0,0,23.62,82,1037.5,0,0,0,0,0,0,0,0,7.33,58.74,15.03,75.34,4.18,74.48,10.07
2018,1,18,1,0,23.57,81,1036.9,0,0,0,0,0,0,0,0,7.52,59.62,14.76,75.96,2.91,90,7.38
2018,1,18,2,0,23.32,81,1036.5,0,0,1,0,0,1,0,0,7.64,58.17,14.76,75.96,2.06,102.53,6.93
2018,1,18,3,0,22.94,81,1036,0,0,3,0,0,3,0,0,7.76,56.77,14.81,75.12,1.58,135,9.17
2018,1,18,4,0,22.67,82,1035.5,0,0,0,0,0,0,0,0,8.14,52.82,15.07,71.83,1.14,168.69,14.54
2018,1,18,5,0,22.49,81,1035.1,0,0,3,0,0,3,0,0,8.46,52.52,15.5,69.73,1.14,191.31,7.16
2018,1,18,6,0,26.3,53,1035.5,0,0,25,0,0,25,0,0,6.83,58.39,10.52,66.16,3.54,235.3,11.86
2018,1,18,7,0,25.93,54,1035.7,0,0,44,0,0,44,21.28,0,6.76,55.78,10.11,65.14,3.7,244.98,11.86
2018,1,18,8,0,27.8,49,1035.7,0,0,100,0,0,100,0,38.27,7.76,56.77,9.61,62.24,3.96,253.61,12.08
2018,1,18,9,0,30.59,43,1035.8,0,0,100,0,0,100,0,157.53,8.71,60.8,9.41,64.65,3.86,259.99,10.07
2018,1,18,10,0,33.14,38,1035.8,0,0,100,0,0,100,0,200.25,8.3,62.74,8.81,66.04,3.91,256.76,7.61
2018,1,18,11,0,35.12,37,1035.3,0,0,100,0,0,100,0,214.49,7.73,67.89,8.28,71.08,3.61,248.2,7.16
2018,1,18,12,0,37.84,33,1034.5,0,0,100,0,0,100,0,291.03,7.01,73.3,7.38,75.96,4.11,240.64,6.71
2018,1,18,13,0,39.71,33,1033.6,0,0,100,0,0,100,0,295.48,6.33,81.87,6.28,85.91,4.65,234.78,5.37
2018,1,18,14,0,41.73,31,1032.2,0,0,100,0,0,100,0,356.89,5.59,90,5.82,90,5.28,233.62,4.92
2018,1,18,15,0,43.8,32,1031.4,0,0,100,0,0,100,0,407.62,5.16,94.97,4.97,97.77,6.09,233.97,4.47
2018,1,18,16,0,44.09,32,1030.3,0,0,15,0,0,15,50.43,396.94,4.75,98.13,4.52,98.53,6.33,237.99,4.25
2018,1,18,17,0,43.22,35,1030,0,0,52,10,33,52,26.81,234.07,4.52,98.53,4.56,101.31,6.71,240.02,4.25
2018,1,18,18,0,40.2,41,1030.1,0,0,20,0,20,16,0,49.84,3.91,103.24,5.81,105.64,6.83,238.39,6.49
2018,1,18,19,0,38.24,46,1030.4,0,0,35,0,0,35,0,0,3.75,107.35,6.73,111.45,7.26,236.31,7.38
2018,1,18,20,0,37.54,49,1030.6,0,0,18,0,0,18,0,0,3.7,115.02,7.61,118.07,8.19,235.01,8.28
2018,1,18,21,0,37.73,54,1030.5,0,0,100,0,0,100,0,0,3.54,124.7,8.19,124.99,9.37,236.69,8.72
2018,1,18,22,0,38.22,58,1030.1,0,0,100,0,4,100,0,0,3.48,135,9.03,131.99,10.71,241.29,6.26
2018,1,18,23,0,38.69,62,1029.6,0,0,100,0,52,100,0,0,3.18,140.71,8.86,137.05,11.89,250.2,6.04
2018,1,19,0,0,39.23,65,1029.2,0,0,100,0,56,100,0,0,2.86,141.34,8.77,142.25,13.1,262.15,6.49
